Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI
-28.760833,17.730278,02-01-2011,11190.0,11426.0,7687.5,7645.0,0.18553833929280794,0.19559473670442257
-26.861111,28.884722,03-01-2011,17658.5,9550.0,13746.5,10574.0,0.12456615188664187,-0.18013435494602117
-26.45,28.085833,03-01-2011,15210.0,10720.0,17974.0,14201.0,-0.08329315332690428,-0.2528054645570494
-27.671111,27.236944,03-01-2011,14887.0,10943.0,13522.0,11403.0,0.04804815375409185,-0.10541590026568524
-27.356667,27.286389,03-01-2011,16828.5,9502.5,12665.5,9643.0,0.1411473520037969,-0.14268314687838263
-27.01011111,26.69808333,04-01-2011,12433.5,10433.5,9579.5,8531.5,0.1296506609730608,0.04267226302903092
-25.127778,27.628889,04-01-2011,7814.0,5189.5,6664.0,5222.0,0.07943086061610664,-0.12439363900957418
-25.20639,27.558,04-01-2011,14137.5,10466.5,10315.5,8536.0,0.1562998405103662,0.007265903185448912
-24.69514,27.40906,04-01-2011,15543.0,10647.0,11919.5,9642.5,0.13194355939918023,-0.056388895043537744
-26.98472222,26.63227778,04-01-2011,13683.0,10207.0,14011.5,11850.5,-0.01186156095975731,-0.15709065383900672
-28.141944,26.417778,04-01-2011,14391.0,9840.0,13799.5,11265.0,0.020982245792022063,-0.16749508238329844
-27.398611,26.614722,04-01-2011,15515.5,10247.0,12823.0,10403.5,0.09501208603137042,-0.11166016471608102
-33.501667,21.624167,04-01-2011,,,,,,
-32.502778,19.535833,04-01-2011,17653.0,13104.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326
-25.45963889,28.26430556,04-01-2011,13959.0,9926.0,15156.5,12552.5,-0.0411292953924884,-0.20853184491179028
-27.495556,26.074722,04-01-2011,17937.5,11044.5,18143.5,14152.5,-0.005709376125938844,-0.24321639029738168
-26.648056,27.089444,05-01-2011,19310.5,9597.0,12954.5,9447.5,0.1969936463660307,-0.14888144912755183
-26.970278,27.211111,05-01-2011,10218.0,11040.0,7946.5,7735.0,0.1250516116601056,0.16293155663234318
-27.38972222,26.46388889,05-01-2011,11481.0,11597.0,8583.0,8196.5,0.1444377990430615,0.14935579781962266
-27.044444,27.005,05-01-2011,17418.5,9908.0,13987.0,10115.0,0.10926430083902466,-0.17070516844528075
